"Region", "Days since last 100/day", "Days exceeded 100", "Total cases", "7day growth %", "7day avg/day", "bl0","7day daily", "bl1",""daily progression", '1/22/20', '1/23/20', '1/24/20', '1/25/20', '1/26/20', '1/27/20', '1/28/20', '1/29/20', '1/30/20', '1/31/20', '2/1/20', '2/2/20', '2/3/20', '2/4/20', '2/5/20', '2/6/20', '2/7/20', '2/8/20', '2/9/20', '2/10/20', '2/11/20', '2/12/20', '2/13/20', '2/14/20', '2/15/20', '2/16/20', '2/17/20', '2/18/20', '2/19/20', '2/20/20', '2/21/20', '2/22/20', '2/23/20', '2/24/20', '2/25/20', '2/26/20', '2/27/20', '2/28/20', '2/29/20', '3/1/20', '3/2/20', '3/3/20', '3/4/20', '3/5/20', '3/6/20', '3/7/20', '3/8/20', '3/9/20', '3/10/20', '3/11/20', '3/12/20', '3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20' , '1/22/20', '1/23/20', '1/24/20', '1/25/20', '1/26/20', '1/27/20', '1/28/20', '1/29/20', '1/30/20', '1/31/20', '2/1/20', '2/2/20', '2/3/20', '2/4/20', '2/5/20', '2/6/20', '2/7/20', '2/8/20', '2/9/20', '2/10/20', '2/11/20', '2/12/20', '2/13/20', '2/14/20', '2/15/20', '2/16/20', '2/17/20', '2/18/20', '2/19/20', '2/20/20', '2/21/20', '2/22/20', '2/23/20', '2/24/20', '2/25/20', '2/26/20', '2/27/20', '2/28/20', '2/29/20', '3/1/20', '3/2/20', '3/3/20', '3/4/20', '3/5/20', '3/6/20', '3/7/20', '3/8/20', '3/9/20', '3/10/20', '3/11/20', '3/12/20', '3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20' , '1/22/20', '1/23/20', '1/24/20', '1/25/20', '1/26/20', '1/27/20', '1/28/20', '1/29/20', '1/30/20', '1/31/20', '2/1/20', '2/2/20', '2/3/20', '2/4/20', '2/5/20', '2/6/20', '2/7/20', '2/8/20', '2/9/20', '2/10/20', '2/11/20', '2/12/20', '2/13/20', '2/14/20', '2/15/20', '2/16/20', '2/17/20', '2/18/20', '2/19/20', '2/20/20', '2/21/20', '2/22/20', '2/23/20', '2/24/20', '2/25/20', '2/26/20', '2/27/20', '2/28/20', '2/29/20', '3/1/20', '3/2/20', '3/3/20', '3/4/20', '3/5/20', '3/6/20', '3/7/20', '3/8/20', '3/9/20', '3/10/20', '3/11/20', '3/12/20', '3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20' ,
"Thailand", 0 , 1 , 599, 407.5%,  69.29, ," [33, 30, 35, 60, 50, 89, 188] ", ," [2, 3, 5, 7, 8, 8, 14, 14, 14, 19, 19, 19, 19, 25, 25, 25, 25, 32, 32, 32, 33, 33, 33, 33, 33, 34, 35, 35, 35, 35, 35, 35, 35, 35, 37, 40, 40, 41, 42, 42, 43, 43, 43, 47, 48, 50, 50, 50, 53, 59, 70, 75, 82, 114, 147, 177, 212, 272, 322, 411, 599] ",  99, 1, 2, 2, 1, 0, 6, 0, 0, 5, 0, 0, 0, 6, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 1, 1, 0, 1, 0, 0, 4, 1, 2, 0, 0, 3, 6, 11, 5, 7, 32, 33, 30, 35, 60, 50, 89, 188 ,98,97, 1.0, 1.0, 0.0, -1.0, 0, -1.0, 0, 0, -1.0, 0, 0, 0, -1.0, 0, 0, 0, -1.0, 0, 0, -1.0, 0, 0, 0, 0, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 2.0, -1.0, 0, 0.0, -1.0, 0, -1.0, 0, 0, 0.0, 1.0, -1.0, 0, 0, 5.0, 10.0, 4.0, 6.0, 31.0, 32.0, 29.0, 34.0, 59.0, 49.0, 88.0, 187.0 ,97,0,0,0,0,0,96, 12, 11, 14, 12, 11, 11, 11, 11, 11, 6, 13, 13, 13, 8, 8, 8, 8, 1, 2, 3, 2, 2, 2, 2, 2, 1, 0, 2, 5, 5, 6, 7, 7, 8, 6, 3, 7, 7, 8, 8, 7, 10, 16, 23, 27, 32, 64, 97, 124, 153, 202, 247, 329, 485
"Japan", 0 , 0 , 1086, 131.6%,  35.29, ," [-14, 53, 11, 35, 39, 44, 79] ", ," [2, 1, 2, 2, 4, 4, 7, 7, 11, 15, 20, 20, 20, 22, 22, 45, 25, 25, 26, 26, 26, 28, 28, 29, 43, 59, 66, 74, 84, 94, 105, 122, 147, 159, 170, 189, 214, 228, 241, 256, 274, 293, 331, 360, 420, 461, 502, 511, 581, 639, 639, 701, 773, 839, 825, 878, 889, 924, 963, 1007, 1086] ",  99, -1, 1, 0, 2, 0, 3, 0, 4, 4, 5, 0, 0, 2, 0, 23, -20, 0, 1, 0, 0, 2, 0, 1, 14, 16, 7, 8, 10, 10, 11, 17, 25, 12, 11, 19, 25, 14, 13, 15, 18, 19, 38, 29, 60, 41, 41, 9, 70, 58, 0, 62, 72, 66, -14, 53, 11, 35, 39, 44, 79 ,98,97, 0.0, -1.0, 0, -1.0, 0, -1.0, 0, 3.0, 4.0, -1.0, 0, 0, -1.0, 0, -21.0, -1.0, 0, -1.0, 0, 0, -1.0, 0, 13.0, 15.0, 6.0, 7.0, 9.0, 9.0, 10.0, 16.0, 24.0, 11.0, 10.0, 18.0, 24.0, 13.0, 12.0, 14.0, 17.0, 18.0, 37.0, 28.0, 59.0, 40.0, 40.0, 8.0, 69.0, 57.0, -1.0, 0, 71.0, 65.0, -15.0, 52.0, 10.0, 34.0, 38.0, 43.0, 78.0 ,97,0,0,0,0,0,96, 5, 10, 13, 18, 16, 16, 15, 15, 34, 10, 5, 6, 6, 4, 6, -17, 4, 18, 33, 40, 48, 56, 66, 76, 79, 88, 93, 96, 105, 120, 123, 119, 109, 115, 123, 142, 146, 192, 220, 246, 237, 288, 308, 279, 281, 312, 337, 314, 297, 250, 285, 262, 234, 247
"Singapore", 0 , 0 , 455, 187.2%,  32.71, ," [17, 23, 47, 32, 40, 47, 23] ", ," [0, 1, 3, 3, 4, 5, 7, 7, 10, 13, 16, 18, 18, 24, 28, 28, 30, 33, 40, 45, 47, 50, 58, 67, 72, 75, 77, 81, 84, 84, 85, 85, 89, 89, 91, 93, 93, 93, 102, 106, 108, 110, 110, 117, 130, 138, 150, 150, 160, 178, 178, 200, 212, 226, 243, 266, 313, 345, 385, 432, 455] ",  99, 1, 2, 0, 1, 1, 2, 0, 3, 3, 3, 2, 0, 6, 4, 0, 2, 3, 7, 5, 2, 3, 8, 9, 5, 3, 2, 4, 3, 0, 1, 0, 4, 0, 2, 2, 0, 0, 9, 4, 2, 2, 0, 7, 13, 8, 12, 0, 10, 18, 0, 22, 12, 14, 17, 23, 47, 32, 40, 47, 23 ,98,97, 1.0, -1.0, 0, 0.0, 1.0, -1.0, 0, 2.0, 2.0, 1.0, -1.0, 0, 3.0, -1.0, 0, 2.0, 6.0, 4.0, 1.0, 2.0, 7.0, 8.0, 4.0, 2.0, 1.0, 3.0, 2.0, -1.0, 0, -1.0, 0, -1.0, 0, 1.0, -1.0, 0, 0, 3.0, 1.0, 1.0, -1.0, 0, 12.0, 7.0, 11.0, -1.0, 0, 17.0, -1.0, 0, 11.0, 13.0, 16.0, 22.0, 46.0, 31.0, 39.0, 46.0, 22.0 ,97,0,0,0,0,0,96, 7, 9, 10, 13, 14, 13, 17, 21, 18, 17, 17, 22, 27, 23, 22, 30, 37, 39, 35, 32, 34, 34, 26, 18, 13, 14, 12, 10, 9, 9, 8, 17, 17, 19, 19, 17, 24, 37, 36, 44, 42, 50, 68, 61, 70, 74, 76, 93, 106, 135, 167, 185, 220, 229
"Nepal", 0 , 0 , 2, 200.0%,   0.14, ," [0, 0, 0, 0, 0, 0, 1] ", ," [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2] ",  99, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 ,98,97, 0, 0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,97,0,0,0,0,0,96, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Malaysia", 0 , 8 , 1306, 230.7%, 125.43, ," [138, 107, 117, 110, 130, 153, 123] ", ," [0, 0, 0, 3, 4, 4, 4, 7, 8, 8, 8, 8, 8, 10, 12, 12, 12, 16, 16, 18, 18, 18, 19, 19, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 23, 23, 25, 29, 29, 36, 50, 50, 83, 93, 99, 117, 129, 149, 149, 197, 238, 428, 566, 673, 790, 900, 1030, 1183, 1306] ",  99, 0, 0, 3, 1, 0, 0, 3, 1, 0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 2, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 4, 0, 7, 14, 0, 33, 10, 6, 18, 12, 20, 0, 48, 41, 190, 138, 107, 117, 110, 130, 153, 123 ,98,97, 0, 0, 0.0, -1.0, 0, 0, 0.0, -1.0, 0, 0, 0, 0, 1.0, -1.0, 0, 0, -1.0, 0, -1.0, 0, 0, -1.0, 0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, 3.0, -1.0, 0, 13.0, -1.0, 0, 9.0, 5.0, 17.0, 11.0, 19.0, -1.0, 0, 40.0, 189.0, 137.0, 106.0, 116.0, 109.0, 129.0, 152.0, 122.0 ,97,0,0,0,0,0,96, 7, 8, 8, 5, 4, 4, 6, 5, 4, 4, 8, 8, 10, 8, 6, 7, 7, 6, 6, 4, 4, 4, 3, 3, 0, 0, 0, 0, 0, 1, 1, 3, 7, 7, 14, 28, 27, 60, 68, 70, 88, 93, 99, 99, 114, 145, 329, 449, 544, 641, 751, 833, 945, 878
"Canada-British Columbia", 1 , 1 , 424, 411.7%,  50.14, ," [30, 0, 83, 45, 40, 153, 0] ", ," [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 12, 13, 21, 21, 27, 32, 32, 39, 46, 64, 64, 73, 103, 103, 186, 231, 271, 424, 424] ",  99, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 8, 0, 6, 5, 0, 7, 7, 18, 0, 9, 30, 0, 83, 45, 40, 153, 0 ,98,97, 0, 0, 0, 0, 0, -1.0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, 0, 0, -1.0, 0, 0, 0, -1.0, 0, 0, 0, -1.0, 0, 0, 2.0, 0.0, 7.0, -1.0, 0, 4.0, -1.0, 0, 6.0, 17.0, -1.0, 0, 29.0, -1.0, 0, 44.0, 39.0, 152.0, -1.0 ,97,0,0,0,0,0,96, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 3, 3, 3, 3, 2, 2, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 5, 6, 14, 13, 19, 24, 23, 27, 33, 43, 43, 46, 71, 71, 147, 185, 207, 360, 351
"Australia-New South Wales", 0 , 0 , 533, 311.7%,  57.00, ," [37, 39, 57, 40, 46, 83, 97] ", ," [0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 13, 22, 22, 26, 28, 38, 48, 55, 65, 65, 92, 112, 134, 171, 210, 267, 307, 353, 436, 533] ",  99, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 9, 0, 4, 2, 10, 10, 7, 10, 0, 27, 20, 22, 37, 39, 57, 40, 46, 83, 97 ,98,97, 0, 0, 0, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, 8.0, -1.0, 0, 1.0, 9.0, 9.0, 6.0, 9.0, -1.0, 0, 19.0, 21.0, 36.0, 38.0, 56.0, 39.0, 45.0, 82.0, 96.0 ,97,0,0,0,0,0,96, 4, 4, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9, 18, 18, 22, 24, 32, 42, 42, 43, 43, 66, 84, 96, 123, 155, 202, 242, 261, 324, 399
"Australia-Victoria", 1 , 1 , 296, 416.9%,  34.14, ," [14, 23, 27, 0, 0, 108, 67] ", ," [0, 0, 0, 0, 1, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 9, 9, 10, 10, 10, 11, 11, 15, 18, 21, 21, 36, 49, 57, 71, 94, 121, 121, 121, 229, 296] ",  99, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 0, 1, 0, 4, 3, 3, 0, 15, 13, 8, 14, 23, 27, 0, 0, 108, 67 ,98,97, 0, 0, 0, -1.0, 0, 0, 0, 0.0, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, -1.0, 0, -1.0, 0, 0, -1.0, 0, 2.0, 2.0, -1.0, 0, 12.0, 7.0, 13.0, 22.0, 26.0, -1.0, 0, 0, 66.0 ,97,0,0,0,0,0,96, 1, 2, 3, 4, 3, 3, 3, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 5, 5, 6, 6, 6, 4, 4, 6, 9, 11, 11, 26, 38, 46, 56, 76, 100, 100, 85, 180, 239
"Australia-Queensland", 0 , 0 , 221, 325.0%,  22.86, ," [7, 10, 16, 50, 40, 37, 0] ", ," [0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 3, 2, 2, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 11, 11, 13, 13, 13, 15, 15, 18, 20, 20, 35, 46, 61, 68, 78, 94, 144, 184, 221, 221] ",  99, 0, 0, 0, 0, 0, 0, 1, 2, -1, 1, -1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2, 0, 0, 2, 0, 3, 2, 0, 15, 11, 15, 7, 10, 16, 50, 40, 37, 0 ,98,97, 0, 0, 0, 0, 0, 0, 1.0, -2.0, 0.0, -2.0, -1.0, 0, -1.0, 0, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, 0, -1.0, 0, -1.0, 0, 0, -1.0, 0, 1.0, -1.0, 0, 10.0, 14.0, 6.0, 9.0, 15.0, 49.0, 39.0, 36.0, -1.0 ,97,0,0,0,0,0,96, 1, 3, 2, 3, 2, 2, 3, 2, 1, 3, 2, 3, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 6, 6, 8, 8, 4, 6, 6, 7, 9, 7, 22, 33, 46, 53, 60, 74, 124, 149, 175, 160
"Cambodia", 0 , 0 , 84, 1200.0%,  11.00, ," [0, 26, 2, 2, 14, 2, 31] ", ," [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 7, 7, 7, 33, 35, 37, 51, 53, 84] ",  99, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 2, 0, 0, 26, 2, 2, 14, 2, 31 ,98,97, 0, 0, 0, 0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0, 0, -1.0, 0, 1.0, -1.0, 0, 0, 1.0, 1.0, 13.0, 1.0, 30.0 ,97,0,0,0,0,0,96, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 4, 6, 5, 5, 31, 32, 34, 46, 46, 77
